"Y","X","numRealSurveysInCell"
368,426,1
374,431,1
387,351,1
391,374,1
395,350,1
396,374,1
396,423,1
399,420,1
400,352,1
401,426,1
403,355,1
403,361,1
403,372,1
404,419,1
405,353,1
405,370,1
407,430,1
408,366,1
409,354,1
412,363,1
414,419,1
415,347,1
417,357,1
417,428,1
418,344,1
420,359,1
421,354,1
421,359,1
421,366,1
424,376,1
425,344,1
425,400,1
426,353,1
427,349,1
427,370,1
428,344,1
428,411,1
433,374,1
434,415,1
437,364,1
437,371,1
437,390,1
439,368,1
440,362,1
440,373,1
441,421,1
443,387,1
445,356,1
446,372,1
446,429,1
447,384,1
448,379,1
449,354,1
449,369,1
449,374,1
451,370,1
452,363,1
452,434,1
453,357,1
454,352,1
454,366,1
455,357,1
455,372,1
455,373,1
457,427,1
458,354,1
458,370,1
459,351,1
459,411,1
460,393,1
460,398,1
461,404,1
465,374,1
465,385,1
466,350,1
466,417,1
469,374,1
470,387,1
471,356,1
475,358,1
475,389,1
475,396,1
476,391,1
476,402,1
477,410,1
477,417,1
481,389,1
483,405,1
484,389,1
486,358,1
487,390,1
494,351,1
495,352,1
