"Y","X","numRealSurveysInCell"
283,261,1
289,259,1
299,230,1
303,215,1
303,258,1
306,237,1
306,251,1
308,207,1
308,242,1
313,211,1
317,248,1
319,195,1
320,214,1
324,205,1
325,237,1
329,227,1
330,214,1
332,177,1
333,183,1
339,220,1
340,189,1
340,213,1
341,205,1
343,198,1
347,226,1
351,188,1
352,201,1
354,209,1
361,260,1
362,241,1
366,248,1
373,222,1
377,217,1
377,251,1
383,184,1
385,225,1
386,212,1
388,173,1
391,165,1
391,226,1
391,242,1
391,252,1
394,150,1
395,143,1
396,158,1
398,166,1
403,173,1
403,222,1
407,142,1
409,217,1
