"Y","X","numRealSurveysInCell"
279,359,1
281,374,1
284,368,1
284,380,1
289,370,1
292,277,1
293,270,1
295,263,1
296,282,1
298,289,1
300,275,1
304,267,1
306,266,1
308,297,1
309,272,1
313,373,1
316,284,1
319,297,1
324,352,1
325,309,1
325,319,1
326,345,1
329,326,1
331,345,1
335,316,1
337,329,1
345,342,1
347,346,1
347,368,1
348,340,1
348,364,1
349,344,1
349,356,1
355,348,1
376,344,1
378,351,1
379,348,1
380,350,1
383,282,1
388,291,1
390,375,1
392,263,1
392,350,1
395,266,1
395,267,1
395,276,1
396,278,1
396,293,1
396,356,1
397,265,1
398,272,1
398,373,1
400,352,1
401,266,1
403,278,1
406,276,1
406,370,1
406,374,1
408,284,1
