"Y","X","numRealSurveysInCell"
273,408,1
274,452,1
277,426,1
277,439,1
279,400,1
279,464,1
280,428,1
281,434,1
284,442,1
284,460,1
285,434,1
290,435,1
290,454,1
291,433,1
295,436,1
298,432,1
299,447,1
300,426,1
300,433,1
304,418,1
306,434,1
309,414,1
318,414,1
322,447,1
328,452,1
330,457,2
332,448,1
332,453,1
332,466,1
334,462,1
335,400,1
338,466,1
339,453,1
339,457,1
342,408,1
344,449,1
346,439,1
346,457,1
351,394,1
351,414,1
351,451,1
352,439,1
352,458,1
352,494,1
353,449,1
354,490,1
355,445,1
355,446,1
355,498,1
356,498,1
357,419,1
357,488,1
358,484,1
360,426,1
360,494,1
362,484,1
362,510,1
362,518,2
363,503,1
364,489,1
366,433,1
366,498,1
368,423,1
368,491,1
372,400,1
374,424,1
379,400,1
381,400,1
382,415,1
383,421,1
383,424,1
385,408,1
385,426,1
389,394,1
390,416,1
390,427,1
391,427,1
392,399,1
394,404,1
394,425,1
394,437,1
395,408,1
396,430,1
400,474,1
402,467,1
403,399,1
404,498,1
405,410,1
405,430,1
405,496,2
406,414,1
406,460,1
407,492,1
408,473,1
408,487,1
