"Y","X","numRealSurveysInCell"
273,427,1
273,429,2
273,434,1
273,449,1
273,453,1
275,409,1
275,458,2
276,479,1
277,432,1
277,439,1
277,489,1
279,443,2
279,447,1
279,464,1
279,483,2
280,447,1
281,426,3
281,452,1
282,490,2
283,422,2
283,495,1
284,435,1
285,416,1
285,418,1
285,435,1
285,440,1
286,411,1
286,426,1
288,454,2
289,433,1
289,491,2
290,435,1
291,434,1
293,422,1
293,423,1
294,422,1
295,482,2
295,488,1
296,440,1
296,451,1
297,432,2
297,456,1
297,501,1
298,402,2
298,501,1
299,405,1
299,418,1
299,447,2
300,396,1
300,491,1
302,411,1
302,424,1
302,457,1
302,499,1
303,400,1
304,414,1
304,420,2
304,434,1
304,495,2
306,415,1
306,430,2
307,415,1
309,398,2
311,414,1
311,477,2
312,403,1
312,451,1
313,443,2
313,509,1
314,398,1
315,414,2
316,516,1
317,414,1
317,456,1
317,516,1
318,472,1
318,487,1
318,488,1
318,507,2
319,441,1
319,480,1
320,412,1
322,522,1
325,469,2
325,507,1
326,480,1
326,481,1
326,487,1
328,457,1
328,522,1
329,457,1
329,516,1
330,450,1
330,511,1
330,512,1
331,456,2
331,473,1
331,505,1
332,461,1
332,506,2
335,468,2
335,516,1
336,520,2
337,502,1
341,500,1
341,523,1
345,414,1
346,419,2
347,521,1
347,522,1
348,413,1
349,422,1
349,496,1
349,499,2
350,492,1
351,496,2
352,488,1
352,494,2
352,500,1
353,417,2
353,490,2
354,424,2
354,476,1
354,477,1
354,483,1
354,491,1
354,506,2
355,486,1
355,498,1
355,499,1
355,512,1
356,487,1
356,516,2
356,518,1
358,420,1
358,427,1
358,520,2
359,488,1
359,492,1
359,512,1
359,523,1
360,496,1
360,507,2
361,450,1
361,492,1
361,499,2
363,432,2
363,510,1
364,422,1
364,423,1
364,499,1
366,448,2
366,503,1
367,508,1
367,509,1
369,433,2
370,424,1
371,437,1
371,446,1
373,434,1
374,440,1
374,441,1
375,425,2
375,443,1
377,443,1
380,425,1
380,434,2
382,444,1
385,426,2
385,434,1
387,445,2
390,427,1
392,430,1
394,433,2
395,442,2
