"Y","X","numRealSurveysInCell"
139,314,1
147,310,1
149,329,1
150,293,1
150,301,1
156,331,1
156,354,1
157,289,1
157,329,1
159,381,1
160,313,1
160,345,1
161,388,1
164,270,1
165,310,1
165,338,1
168,288,1
168,316,1
169,276,1
172,387,1
173,332,1
174,323,1
174,341,1
174,356,1
176,345,1
182,345,1
182,390,1
187,366,1
188,350,1
189,358,1
190,340,1
194,332,1
196,366,1
200,362,1
201,355,1
201,371,1
205,379,1
207,359,1
207,364,1
211,354,1
215,369,1
217,350,1
217,362,1
225,324,1
228,329,1
230,345,1
230,351,1
232,356,1
234,325,1
236,332,1
236,333,1
239,339,1
240,360,1
241,364,1
246,321,1
246,362,1
251,318,1
252,358,1
258,316,1
258,347,1
259,371,1
262,363,1
266,314,1
268,356,1
270,302,1
271,306,1
271,346,1
