"Y","X","numRealSurveysInCell"
273,486,1
275,482,1
277,489,1
278,467,1
278,489,1
279,485,1
280,426,1
281,439,1
281,470,1
281,519,1
283,488,1
285,440,1
285,488,1
285,493,1
286,493,1
288,451,1
288,454,1
289,476,1
289,488,1
289,490,1
290,435,1
290,444,1
291,440,1
291,447,1
291,488,1
292,436,1
292,487,1
294,433,1
294,480,1
294,488,1
295,432,2
295,436,1
295,482,1
296,451,1
296,479,1
297,419,1
297,441,1
297,482,1
297,484,1
299,429,1
300,491,1
300,493,1
300,496,1
300,501,1
300,515,1
300,519,1
302,424,1
302,485,1
302,486,1
303,421,1
304,488,1
304,495,1
306,487,1
309,480,1
310,486,1
311,484,1
314,475,1
315,483,1
318,482,1
321,480,1
322,461,1
322,469,1
325,474,1
325,479,1
327,450,1
327,485,1
328,464,1
331,491,1
332,456,1
332,460,1
345,428,1
346,417,1
351,423,1
357,426,1
362,424,1
368,426,1
374,431,1
383,444,1
391,445,1
396,423,1
399,420,1
399,445,1
401,426,1
403,442,1
404,419,1
407,430,1
