"Y","X","numRealSurveysInCell"
375,400,1
379,350,1
380,438,1
383,421,1
385,410,1
388,426,1
389,367,1
392,399,1
393,366,1
394,423,1
395,371,1
399,363,1
400,398,1
400,427,1
403,330,1
403,356,1
405,321,1
407,338,1
407,417,1
407,439,1
408,367,1
408,400,1
408,430,1
412,400,1
413,330,1
414,339,1
414,347,1
414,411,1
416,343,1
418,432,1
419,353,2
420,358,1
420,401,1
421,365,1
423,324,1
424,376,1
425,433,1
426,370,1
427,372,1
427,410,1
428,329,1
428,354,1
429,334,1
430,392,1
432,414,1
433,367,1
434,355,1
435,390,1
436,361,1
438,361,1
438,366,1
439,374,1
440,420,1
443,373,1
443,421,1
444,391,1
445,352,1
445,357,1
445,428,1
447,384,1
447,430,1
448,332,1
448,374,1
449,378,1
450,359,1
452,354,1
455,342,1
455,359,1
456,426,1
457,364,1
459,378,1
459,383,1
467,331,1
467,385,1
472,329,1
473,321,1
473,332,1
473,391,1
475,325,1
475,330,1
476,402,1
477,392,1
477,408,1
481,389,1
482,330,1
487,359,1
489,328,1
495,322,1
495,350,1
