"Y","X","numRealSurveysInCell"
369,433,1
371,414,1
377,356,1
383,438,1
384,356,2
384,430,1
387,432,1
390,368,1
391,428,1
393,422,1
393,430,1
395,337,1
395,398,1
397,354,1
398,365,1
399,424,1
400,356,1
400,371,1
402,320,1
402,357,1
403,398,1
403,428,1
404,342,1
405,336,1
407,407,1
410,339,1
410,347,1
411,438,1
412,342,1
412,354,1
413,325,1
413,400,1
414,331,1
415,402,1
417,346,1
417,354,1
417,413,1
418,322,1
418,432,1
419,351,1
421,355,1
421,364,1
421,400,1
422,334,1
423,377,1
423,394,1
423,402,1
423,414,1
425,345,1
425,404,1
427,328,1
427,398,1
428,347,1
428,407,1
429,358,1
430,362,1
431,332,1
431,391,1
431,400,1
431,414,1
432,347,1
433,367,1
434,354,1
435,414,1
436,361,1
437,404,1
439,352,1
441,342,1
441,372,1
442,348,1
443,408,1
444,328,1
444,413,1
446,336,1
446,371,1
447,330,1
449,333,1
449,344,1
451,384,1
453,348,1
454,358,1
454,372,1
457,385,1
460,397,1
461,346,1
461,351,1
461,393,1
461,399,1
462,390,1
463,380,1
465,380,1
465,385,1
467,376,1
467,380,1
471,388,1
473,400,1
473,410,1
474,328,1
475,321,1
475,352,1
475,392,1
476,339,1
476,402,1
477,392,1
477,408,1
479,392,1
482,350,1
485,326,1
486,355,1
487,342,1
489,365,1
490,321,1
491,361,1
494,337,1
