"Y","X","numRealSurveysInCell"
369,433,2
370,424,1
371,437,1
373,434,1
375,425,2
380,425,1
380,434,2
385,426,2
385,434,1
390,427,1
392,430,1
394,433,2
441,387,1
441,389,1
442,384,1
445,392,1
446,384,2
450,384,1
450,386,1
451,393,2
454,389,1
456,388,2
459,386,1
460,382,1
461,383,1
462,387,2
462,412,1
463,392,2
464,386,1
465,385,1
466,389,1
466,394,1
467,390,1
467,395,1
468,399,1
469,402,1
470,388,2
470,408,1
470,417,1
472,401,1
473,394,2
474,417,2
475,400,1
476,413,1
479,390,1
483,387,1
485,388,2
