"Y","X","numRealSurveysInCell"
410,333,1
410,387,1
411,273,1
412,348,1
413,288,1
414,329,1
415,336,1
415,375,1
416,360,1
417,349,1
418,344,1
419,340,1
420,326,1
421,355,1
421,377,1
422,350,1
422,366,1
422,389,1
423,300,1
424,316,1
424,356,1
425,324,1
425,346,1
425,372,1
426,290,1
426,353,1
427,338,1
428,288,1
431,324,1
431,332,1
432,367,1
433,391,1
434,326,1
434,350,1
436,357,1
436,362,1
438,369,1
440,264,1
440,322,1
441,348,1
441,357,1
441,389,1
442,384,1
443,275,1
445,338,1
445,359,1
446,371,1
447,332,1
448,354,1
448,374,1
448,379,1
449,279,1
450,382,1
452,363,1
454,279,1
455,341,1
455,389,1
456,349,1
456,371,1
464,333,1
465,338,1
466,380,1
467,331,1
467,332,1
472,349,1
472,389,1
474,313,1
475,326,1
475,339,1
475,392,1
476,317,1
476,332,1
477,334,1
479,342,1
479,346,1
480,332,1
483,389,1
484,327,1
486,354,1
489,320,1
493,316,1
495,352,1
496,309,1
496,360,1
501,303,1
502,303,1
504,306,1
