"Y","X","numRealSurveysInCell"
131,413,1
135,395,1
139,390,1
142,422,1
145,383,1
149,378,1
151,423,1
155,415,1
156,407,1
157,380,1
160,399,1
160,424,1
161,385,1
162,392,1
162,408,1
166,426,1
179,407,1
184,413,1
191,408,1
200,406,1
210,406,1
217,408,1
222,406,1
225,411,1
230,405,1
233,400,1
234,429,1
236,406,1
236,421,1
237,414,1
239,399,1
241,404,1
245,406,1
246,412,1
247,362,1
248,369,1
249,435,1
250,418,1
250,426,1
254,381,1
254,385,1
255,373,1
255,399,1
256,406,1
257,355,1
262,381,1
265,384,1
266,388,1
267,361,1
268,377,1
268,394,1
268,449,1
268,472,1
269,369,1
269,477,1
271,358,1
272,451,1
273,481,1
273,489,1
275,397,1
276,469,1
278,463,1
279,359,1
280,458,1
281,374,1
281,446,1
281,489,1
283,434,1
284,368,1
284,380,1
284,428,1
284,479,1
285,258,1
285,455,1
285,463,1
286,474,1
288,485,1
289,370,1
289,430,1
289,500,1
290,492,1
292,259,1
292,277,1
293,257,1
293,270,1
293,428,1
295,263,1
296,282,1
296,438,1
296,451,1
296,471,1
296,479,1
298,289,1
298,445,1
300,261,1
300,275,1
301,425,1
302,482,1
303,419,1
303,493,1
303,499,1
304,267,1
305,240,1
306,248,1
306,266,1
307,434,1
307,487,1
308,297,1
309,272,1
309,421,1
309,480,1
311,414,1
311,495,1
313,211,1
313,373,1
315,487,1
316,284,1
319,247,1
319,297,1
319,414,1
321,245,1
324,352,1
325,309,1
325,319,1
326,207,1
326,215,1
326,232,1
326,345,1
328,214,1
329,326,1
330,225,1
331,345,1
332,177,1
334,175,1
335,316,1
336,210,1
337,185,1
337,329,1
338,173,1
339,171,1
339,219,1
341,195,1
342,202,1
345,224,1
345,342,1
346,212,1
347,346,1
347,368,1
348,340,1
348,364,1
349,344,1
349,356,1
353,493,1
353,501,1
354,480,1
354,508,1
355,348,1
356,487,1
356,489,1
356,515,1
356,516,1
357,205,1
357,209,1
359,510,1
360,493,1
362,209,1
362,517,1
362,525,1
362,532,1
364,489,1
364,496,1
365,498,1
367,496,1
367,507,1
369,489,1
371,502,1
373,175,1
382,205,1
383,255,1
383,282,1
384,209,1
385,191,1
386,157,1
388,291,1
391,211,1
392,151,1
392,263,1
393,444,1
395,266,1
395,267,1
395,276,1
396,203,1
396,225,1
396,278,1
396,293,1
397,265,1
397,441,1
398,272,1
399,213,1
400,169,1
401,266,1
401,445,1
403,278,1
406,219,1
406,276,1
407,448,1
408,284,1
410,272,1
410,302,1
411,178,1
411,215,1
411,268,1
412,204,1
412,441,1
413,188,1
415,233,1
415,296,1
418,300,1
424,294,1
425,205,1
425,214,1
425,230,1
425,302,1
427,290,1
427,504,1
428,236,1
429,232,1
430,220,1
430,244,1
431,209,1
432,509,1
434,498,1
434,502,1
435,518,1
436,219,1
436,255,1
437,496,1
437,506,1
438,272,1
438,513,1
438,523,1
440,505,1
441,228,1
441,507,1
441,522,1
442,472,1
443,466,1
444,463,1
444,476,1
444,511,1
445,204,1
445,510,1
447,470,1
447,517,1
448,505,1
449,464,1
449,475,1
449,480,1
450,195,1
451,485,1
451,490,1
451,497,1
452,259,1
452,505,1
452,513,1
453,285,1
453,479,1
454,467,1
456,473,1
456,484,1
457,494,1
458,208,1
459,489,1
462,474,1
464,203,1
465,197,1
468,476,1
475,474,1
481,471,1
