"Y","X","numRealSurveysInCell"
371,349,1
375,349,1
378,349,1
381,350,1
385,350,1
387,351,1
392,350,1
394,350,1
395,426,1
405,413,1
409,398,1
412,348,1
414,347,1
414,401,1
414,430,1
417,346,1
418,401,1
421,357,1
421,366,1
423,356,1
424,377,1
424,400,1
425,367,1
425,374,1
426,370,1
426,372,1
427,357,1
428,378,1
429,356,1
431,376,1
434,374,1
437,345,1
437,362,1
438,361,1
438,366,1
438,386,1
439,367,1
440,369,1
440,384,1
441,386,1
442,372,1
443,325,1
443,326,1
443,373,1
444,328,1
445,329,1
446,359,1
451,355,1
453,385,1
455,339,1
456,353,1
457,352,1
458,350,1
471,388,1
472,388,1
473,404,1
474,391,1
474,394,1
474,396,1
474,404,1
475,392,1
475,402,1
476,398,1
476,403,1
