"Y","X","numRealSurveysInCell"
134,396,1
134,403,1
145,382,1
145,395,1
145,405,1
145,458,1
152,464,1
155,415,1
158,421,1
160,471,1
172,435,1
173,471,1
174,445,1
174,451,1
175,463,1
210,434,1
212,441,1
213,428,1
214,423,1
219,441,1
220,415,1
226,437,1
228,408,1
232,404,1
236,407,1
241,417,1
242,397,1
243,483,1
243,499,1
245,368,1
246,361,1
249,393,1
250,530,1
251,427,1
251,445,1
252,387,1
255,414,1
255,455,1
255,531,1
258,481,1
258,531,1
259,344,1
259,414,1
259,464,1
259,475,1
259,499,1
260,384,1
260,469,1
260,485,1
260,490,1
260,504,1
263,527,1
268,497,1
268,511,1
270,357,1
271,345,1
271,383,1
272,490,1
275,531,1
276,460,1
276,489,1
277,387,1
278,359,1
278,441,1
278,468,1
278,546,1
279,396,1
279,529,1
281,337,1
281,390,1
281,434,1
281,447,1
282,506,1
284,449,1
284,549,1
285,461,1
285,493,1
287,469,1
287,488,1
291,433,1
291,478,1
291,527,1
292,489,1
295,531,1
295,538,1
295,547,1
296,451,1
296,544,1
297,506,1
298,445,1
298,521,1
300,433,1
300,495,1
300,514,1
301,426,1
302,416,1
302,494,1
304,417,1
304,434,1
305,413,1
305,487,1
306,501,1
310,509,1
310,512,1
315,508,1
317,472,1
317,482,1
318,517,1
322,536,1
323,350,1
324,473,1
325,305,1
325,317,1
325,511,1
326,527,1
329,326,1
329,519,1
329,582,1
330,503,1
330,534,1
333,518,1
334,504,1
336,575,1
339,359,1
339,500,1
342,570,1
345,373,1
346,352,1
346,523,1
346,531,1
347,564,1
347,628,2
348,365,1
349,359,1
349,379,1
349,569,1
349,624,3
352,494,1
352,566,1
352,568,1
352,624,1
352,626,1
353,625,2
354,483,1
354,622,1
354,625,1
354,628,1
355,349,1
356,383,1
356,564,1
357,565,1
357,624,1
358,381,1
358,491,1
358,499,1
358,624,1
359,240,1
359,561,1
359,567,1
359,624,1
361,570,1
362,521,1
363,258,1
363,392,1
363,505,1
364,349,1
364,492,1
364,564,1
365,296,1
365,393,1
365,572,1
367,495,1
368,524,1
369,566,1
370,450,1
371,522,1
374,502,1
374,515,1
375,496,1
376,463,1
376,504,1
378,478,1
380,510,1
384,468,1
385,305,1
386,573,1
388,245,1
389,571,1
391,261,1
391,291,1
391,567,1
392,238,1
392,251,1
392,564,1
393,567,1
394,475,1
395,567,1
395,571,1
396,261,1
397,317,1
397,572,1
398,267,1
399,273,1
399,565,1
400,474,1
401,549,1
402,474,1
403,563,1
405,547,1
405,554,1
405,558,1
405,566,1
407,283,1
407,293,1
407,463,1
407,562,1
407,577,1
408,570,1
409,536,1
411,558,1
412,471,1
413,563,1
415,454,1
415,470,1
415,534,1
416,301,1
416,547,1
418,444,1
419,472,1
420,563,1
421,294,1
422,451,1
422,530,1
423,540,1
424,291,1
424,459,1
426,558,1
427,462,1
429,476,1
430,470,1
430,484,1
430,545,1
431,467,1
431,489,1
433,495,1
436,502,1
439,496,1
439,538,1
441,503,1
441,504,1
441,521,1
442,473,1
442,515,1
443,460,1
445,464,1
445,497,1
445,505,1
446,477,1
446,500,1
446,546,1
450,527,1
451,480,1
451,506,1
451,532,1
452,471,1
452,534,1
453,472,1
455,483,1
456,468,1
456,473,1
457,482,1
458,511,1
458,543,1
459,477,1
459,531,1
461,466,1
461,467,1
462,516,1
463,503,1
463,532,1
463,541,1
465,535,1
466,478,1
466,518,1
467,522,1
469,528,1
470,516,1
470,533,1
472,478,1
474,525,1
475,527,1
476,315,1
479,299,1
480,312,1
483,290,1
484,280,1
484,305,1
