"Y","X","numRealSurveysInCell"
137,393,1
138,449,1
145,396,1
146,454,1
147,405,1
154,440,1
155,517,1
158,422,1
159,408,1
163,408,1
164,454,1
168,409,1
171,451,1
174,445,1
174,485,1
175,459,1
177,488,1
178,494,1
179,479,1
180,395,1
180,483,1
180,491,1
182,416,1
184,492,1
186,407,1
189,480,1
192,492,1
194,428,1
195,489,1
195,505,1
197,499,1
198,484,1
198,490,1
200,513,1
201,496,1
205,488,1
205,513,1
205,516,1
206,489,1
218,404,1
223,522,1
225,405,1
226,422,1
226,428,1
231,434,1
233,393,1
237,481,1
241,486,1
242,437,1
246,471,1
246,493,1
247,410,1
247,492,1
248,404,1
249,438,1
250,417,1
251,427,1
252,410,1
252,471,1
254,393,1
254,492,1
254,493,1
257,457,1
258,470,1
258,480,1
259,471,1
260,428,1
260,465,1
261,465,1
261,505,1
263,438,1
263,456,1
263,498,1
263,499,1
264,393,1
264,470,1
265,471,1
266,453,1
266,509,1
267,421,1
270,476,1
270,491,1
270,494,1
270,514,1
271,435,1
271,499,1
271,522,1
