"Y","X","numRealSurveysInCell"
368,433,1
372,434,1
372,438,1
376,373,1
383,378,1
383,435,1
383,438,1
388,431,1
392,368,1
392,375,1
394,434,1
395,428,1
395,439,1
398,363,1
399,372,1
399,433,1
400,353,1
401,357,1
402,438,1
403,420,1
405,352,1
407,371,1
407,418,1
408,354,1
409,430,1
410,363,1
410,435,1
412,422,1
414,355,1
414,431,1
415,362,1
415,375,1
416,435,1
417,357,1
417,430,1
418,353,1
419,423,1
421,382,1
421,387,1
423,360,1
424,392,1
427,378,1
427,397,1
428,352,1
429,357,1
429,386,1
432,350,1
432,376,1
433,345,1
433,357,1
434,354,1
434,395,1
435,348,1
435,380,1
437,361,1
437,365,1
437,375,1
437,390,1
439,321,1
439,358,1
439,373,1
439,376,1
440,368,1
441,344,1
443,387,1
444,337,1
444,351,1
444,360,1
445,329,1
448,369,1
449,373,1
449,384,1
450,360,1
452,363,1
453,338,1
454,371,1
456,349,1
456,362,1
456,386,1
458,376,1
458,395,1
460,369,1
460,409,1
461,381,1
461,402,1
462,350,1
462,386,1
462,391,1
462,421,1
463,410,1
463,414,1
464,382,1
467,348,1
469,409,1
470,417,1
473,349,1
474,394,1
475,411,1
475,415,1
477,365,1
477,391,1
477,407,1
478,352,1
478,360,1
480,410,1
481,363,1
484,350,1
484,358,1
486,355,1
490,357,1
