"Y","X","numRealSurveysInCell"
61,254,1
65,259,1
68,203,1
70,252,1
74,181,1
74,239,1
75,189,1
75,251,1
76,198,1
76,232,1
78,184,1
79,189,1
80,178,1
81,213,1
82,184,1
83,187,1
83,204,1
85,164,1
85,175,1
86,171,1
86,190,1
87,179,1
87,253,1
89,173,1
91,166,1
92,197,1
93,178,1
93,204,1
94,167,1
94,170,1
97,166,1
97,177,1
97,185,1
98,170,1
98,211,1
99,189,1
101,166,1
101,192,1
102,163,1
102,169,1
102,241,1
104,168,1
105,189,1
105,200,1
107,212,1
110,165,1
111,216,1
115,232,1
116,239,1
118,229,1
120,166,1
124,170,1
126,174,1
130,181,1
132,192,1
133,162,1
134,169,1
135,176,1
135,204,1
