"Y","X","numRealSurveysInCell"
410,81,1
413,126,1
415,77,1
415,101,1
415,102,1
415,119,1
416,99,1
419,81,1
422,95,1
423,77,1
424,116,1
426,90,1
427,81,1
427,84,1
427,118,1
428,93,1
431,85,1
431,128,1
432,78,1
432,90,1
438,76,1
443,75,1
444,93,1
452,77,1
460,74,1
461,70,1
462,78,1
464,59,1
466,130,1
467,64,1
467,72,1
467,111,1
469,62,1
469,117,1
472,66,1
472,126,1
479,53,1
480,100,1
481,62,1
481,122,1
482,127,1
483,60,1
483,106,1
485,99,1
486,117,1
487,113,1
488,98,1
488,106,1
489,49,1
492,96,1
493,47,1
495,47,1
495,101,2
497,42,1
498,44,1
499,100,1
500,98,1
503,25,1
503,41,1
504,29,1
504,98,1
506,36,1
507,29,1
511,98,1
516,101,1
528,81,1
529,75,1
530,69,1
532,65,1
537,66,1
543,66,1
