"Y","X","numRealSurveysInCell"
367,423,1
371,349,1
375,400,1
375,425,1
378,346,1
378,351,1
383,425,1
384,408,1
387,400,1
388,352,1
388,376,1
390,426,1
391,418,1
393,431,1
394,374,1
394,425,1
395,438,1
398,425,1
400,352,1
400,391,1
400,397,1
401,396,1
403,351,1
403,397,1
404,371,1
404,420,1
406,416,1
407,430,1
408,439,1
409,401,1
409,418,1
411,414,1
416,355,1
416,390,1
418,387,1
418,431,1
419,401,1
419,406,1
420,362,1
421,377,1
422,367,1
423,354,1
423,381,1
423,391,1
424,391,1
424,401,1
425,406,1
426,372,1
426,398,1
426,415,1
429,352,1
430,379,1
430,411,1
433,416,1
434,372,1
437,375,1
437,384,1
438,416,1
440,347,1
441,358,1
441,390,1
442,367,1
442,368,5
442,371,1
442,384,1
444,360,1
444,371,1
447,377,1
447,392,1
448,354,1
448,369,1
448,374,1
448,375,1
449,380,1
450,369,1
450,396,1
452,355,1
452,372,1
452,392,1
456,347,1
457,369,1
458,348,1
459,385,1
462,381,1
463,349,1
467,346,1
468,386,1
471,385,1
472,348,1
475,393,1
477,353,1
479,391,1
483,348,1
484,347,1
484,351,1
