"Y","X","numRealSurveysInCell"
410,81,1
413,126,1
414,80,1
414,103,1
414,124,1
416,77,1
417,99,1
417,103,1
417,116,1
418,76,1
420,96,1
420,115,1
423,77,1
423,115,1
424,109,1
425,92,1
425,106,1
425,113,1
426,80,1
428,92,1
428,95,1
428,99,1
431,84,1
432,79,1
435,91,1
437,76,1
438,130,1
442,129,1
444,93,1
444,127,1
445,75,1
447,126,1
451,70,1
454,120,1
455,70,1
456,74,1
456,102,1
458,103,1
459,115,1
460,75,1
462,105,1
463,70,1
463,77,1
464,76,1
464,114,1
465,60,1
466,72,1
466,106,1
466,110,1
469,65,1
469,75,1
472,74,1
472,108,1
474,67,1
483,106,1
483,119,1
484,108,1
484,116,1
485,102,1
485,111,1
486,111,1
488,96,1
488,106,1
490,98,1
490,99,1
491,47,1
492,108,1
494,47,1
495,43,1
495,45,1
497,42,1
503,40,1
503,45,1
532,65,1
538,66,1
