"Y","X","numRealSurveysInCell"
367,433,1
372,438,1
385,350,1
385,429,1
390,416,1
392,429,1
393,350,1
393,420,1
394,425,1
394,436,1
396,421,1
398,437,1
400,352,1
400,371,1
402,421,1
403,330,2
404,347,1
407,323,1
408,420,1
408,430,1
410,370,1
410,435,1
413,321,1
414,375,1
414,423,1
417,346,1
417,430,1
417,439,1
418,368,1
418,432,1
419,390,1
420,337,1
420,359,1
420,377,1
420,388,1
421,330,1
422,345,1
422,354,1
422,355,1
423,324,1
423,422,1
424,357,1
424,367,1
424,393,1
425,348,1
427,378,1
428,395,1
429,372,1
431,354,1
432,368,1
433,357,1
435,405,1
436,390,1
437,360,1
437,370,1
439,395,1
442,360,1
442,364,2
444,363,1
444,384,1
444,394,1
448,363,1
448,364,1
451,375,2
451,396,2
452,354,1
452,367,2
453,354,4
454,367,1
456,388,1
457,354,1
458,368,1
460,430,1
462,411,1
462,423,1
462,435,1
463,415,1
466,419,1
468,433,1
469,427,1
471,395,2
474,417,1
477,353,1
477,406,1
481,351,2
483,338,1
484,357,1
486,341,1
486,344,1
486,359,9
488,357,1
493,359,1
