"Y","X","numRealSurveysInCell"
66,170,1
69,256,1
71,178,1
71,179,1
72,248,1
72,252,1
74,166,1
75,182,1
75,239,1
76,194,1
76,229,2
77,184,1
78,251,1
79,164,1
81,177,1
81,195,1
81,261,1
82,189,1
83,162,1
83,187,1
84,205,1
85,170,1
86,166,1
87,176,1
87,253,1
90,180,1
90,261,1
91,199,1
93,176,1
94,178,1
95,189,1
95,199,1
98,165,1
98,170,1
98,244,1
98,256,1
99,168,1
99,178,1
99,203,1
99,208,1
103,204,1
103,244,1
105,201,1
106,211,1
107,166,1
109,256,1
110,215,1
111,239,1
114,251,1
115,260,1
116,169,1
116,175,1
116,237,1
117,229,1
117,243,1
126,183,1
132,192,1
135,203,1
